Codigo Puesto,Nombre del Puesto o Area Medida,Luxes Mínimos
221,"36.5 Tableros negros, verdes y blancos en auditorios y salas de conferencias",500
222,36.7 Tablero de visualización/Pantalla,200
223,36.8 Mesa de demostración en auditorios y salas de conferencias,750
224,36.10 Luz sobre el área del podio,300
225,36.11 Sólo trabajos con computadoras,300
226,36.12 Salas de arte en las escuelas de arte,750
227,36.13 Salas de dibujo técnico,750
228,36.14 Salas de prácticas y laboratorios,500
229,36.15 Salas de manualidades / Artesanías,500
230,36.16 Taller de enseñanza,500
231,36.17 Salas de preparación y talleres,500
232,36.18 Hall de entrada del edificio / Pasillos principal de entrada del edificio,200
233,"36.19 Zonas de circulación, corredores",100
234,36.2 Escaleras dentro de edificios educativos,150
235,36.21 Salas comunes para estudiantes y salones de reuniones,200
236,36.22 Salas de profesores,300
237,36.23 Biblioteca: estanterías,200
238,36.24 Biblioteca: áreas de lectura,500
239,36.25 Almacenes para materiales didácticos,100
240,"36.26 Pabellones deportivos, gimnasios, piscinas",300
241,36.27 Comedores escolares,200
242,36.28 Cocina,500
243,37.1 Salas de espera,200
244,37.2 Pasillos: durante el día,100
245,37.3 Pasillos: limpieza,100
246,37.4 Pasillos: durante la noche,50
247,"37.5 Pasillos multipropósito (por ejemplo, preexamen de pacientes)",200
248,37.6 Salas de estar,300
249,37.7 Ascensores para personas y visitantes,100
250,37.8 Ascensores de servicio,200
251,38.1 Oficina del personal,500
252,38.2 Salas de personal,300
253,39.1 Iluminación general,100
254,39.2 Iluminación para lectura,300
255,39.3 Pabellones - Exámenes simples,300
256,39.4 Examen y tratamiento,1000
257,"39.5 Iluminación nocturna, iluminación para observación",5
258,39.6 Baños para pacientes,200
259,40.1 Iluminación general,500
260,40.2 Área de examinación y tratamiento,1000
261,41.1 Iluminación general,500
262,41.2 Examen de la parte externa del ojo,1000
263,41.3 Pruebas de lectura y visión del color con gráficos de visión,500
264,42.1 Iluminación general,500
265,42.2 Área de examen del oído,1000
266,43.1 Iluminación general,300
267,43.2 Escáneres con potenciadores de imagen y sistemas de televisión,50
268,44.1 Iluminación general,300
269,44.2 Área de examinación y tratamiento,1000
270,45.1 Diálisis,500
271,45.2 Dermatología,500
272,45.3 Endoscopia,300
273,45.4 Enyesado,500
274,45.5 Baños médicos,300
275,45.6 Masaje y radioterapia,300
276,46.1 Salas preoperatoria y de recuperación,500
277,46.2 Alrededores de la mesa de operación,1000
278,46.3 Quirófano,1000
279,47.1 Iluminación general,300
280,47.2 Exámenes sencillos,500
281,47.3 Examen y tratamiento,1000
282,47.4 Observación nocturna,20
283,48.1 Iluminación general,500
284,48.2 En el paciente,1000
285,49.1 Iluminación general,500
286,49.2 Inspección de color,1000
287,50.1 Esterilización,500
288,50.2 Desinfección,500
289,51.1 Iluminación general,500
290,51.2 Mesas de autopsia y mesas de disección,5000
291,"52.1 Salas de llegadas y salidas, zonas de reclamo de equipaje",200
292,52.2 Áreas de conexión,150
293,"52.3 Mostradores de información, mostradores de facturación y check-in.",500
294,52.4 Áreas de aduanas y control de pasaportes,500
295,52.5 Áreas de espera,200
296,52.6 Salas de almacenamiento de equipaje,200
297,52.7 Áreas de control de seguridad,300
298,52.8 Torre de control del tráfico aéreo,500
299,"52.9 Tareas en hangares:
-  Áreas de prueba y reparación
-  Áreas de prueba del motor
-  Áreas de
medición",500
300,"53.1.1 Plataformas totalmente cubiertas, pequeño número de pasajeros, por ejemplo, estaciones pequeñas, estaciones en zonas apartadas no urbanas, etc.",50
301,"53.1.2 Plataformas totalmente cubiertas, número medio de pasajeros, por ejemplo, estaciones intermedias, etc.",100
302,"53.1.3 Plataformas totalmente cubiertas, gran número de pasajeros, número grande de pasajeros, por ejemplo, terminales/estacio nes de integración, de cabecera o portales, grandes estaciones de transporte masivo, terminales de transporte terreste, etc.",200
303,"53.2.1 Metro de pasajeros totalmente cerrado (pasos subterráneos), pequeño número de pasajeros",50
304,"53.2.2 Metro de pasajeros totalmente cerrado (pasos subterráneos), número medio de pasajeros",100
305,"53.2.3 Metro de pasajeros totalmente cerrado (pasos subterráneos), gran número de pasajeros",200
306,"53.3.1 Escaleras, escaleras mecánicas, pequeño número de pasajeros",50
307,"53.3.2 Escaleras, escaleras mecánicas, número medio de pasajeros",100
308,"53.3.3 Escaleras, escaleras mecánicas, gran número de pasajeros",200
309,53.4 Taquilla y vestíbulo,200
310,53.5 Mostradores de venta de tiquetes y oficinas de equipaje,300
311,53.6 Salas de espera,200
312,53.7 Pasillos de entrada y de la estación,200
313,53.8 Salas de máquinas e interruptores,200
314,53.8.1 Centro de control ferroviario (zona de despachador),200
315,53.9 Túneles de acceso,50
316,53.10.1 Trabajos de montaje en cobertizos de mantenimiento - áspero,200
317,53.10.2 Trabajos de montaje en cobertizos de mantenimiento - medio,300
318,53.10.3 Trabajos de montaje en cobertizos de mantenimiento - fino,500
319,53.10.4 Trabajos de montaje en cobertizos de mantenimiento - precisión,750
320,53.10.5 Áreas de circulación para zonas de mantenimiento de vehículos ferroviarios (sin tráfico vehicular adicional),100
321,53.10.6 Áreas de circulación para zonas de mantenimiento de vehículos ferroviarios (con tráfico vehicular adicional),150
